task,feature,RF_F1,RF_F1_std,RF_AUC,RF_AUC_std
Mitosis,Traditional(clean),0.726984126984127,0.10952938523353917,0.8516780452748833,0.04462247945659359
Mitosis,Topological,0.6473254213966289,0.1349838374313458,0.7940909090909092,0.07148946636849995
Mitosis,Combined,0.6651530787753698,0.12781849044379456,0.8589669421487602,0.06411614776594086
Apoptosis,Traditional(clean),0.5530877638104025,0.13177574796064626,0.664567382508559,0.08177391827375158
Apoptosis,Topological,0.5291187739463601,0.07304030480379754,0.6673187052598817,0.08988101863115086
Apoptosis,Combined,0.5296129712921317,0.1392641704781782,0.6898972922502334,0.09247329283260759
Tubule,Traditional(clean),0.8449676679909238,0.044148534256935025,0.8937685560053981,0.05956441338241119
Tubule,Topological,0.7711009711009711,0.07836725480586335,0.7566211201079621,0.073801560821496
Tubule,Combined,0.8308058608058607,0.045140393672982546,0.8911133603238867,0.049735585661011175
