task,topo_type,RF_AUC,RF_AUC_std
Mitosis,H0 only,0.7974452030183256,0.0877185345054345
Mitosis,H1 only,0.8058246496586416,0.07390112747028162
Mitosis,H0+H1 (full),0.7940909090909092,0.07148946636849995
Apoptosis,H0 only,0.6830921257391845,0.07914980598912952
Apoptosis,H1 only,0.6888546529723,0.09976834908539212
Apoptosis,H0+H1 (full),0.6673187052598817,0.08988101863115086
Tubule,H0 only,0.6924409581646424,0.06837563456887628
Tubule,H1 only,0.7376939946018892,0.07807272653783193
Tubule,H0+H1 (full),0.7566211201079621,0.073801560821496
