dimension,mitosis_p,tubule_p,mitosis_sig,tubule_sig
H0_MeanPersistence,4.888095008700562e-07,7.391964875513636e-07,True,True
H0_StdPersistence,0.00847518789580678,0.20859145765454923,True,False
H0_MaxPersistence,0.00453854874577795,0.5431144553167145,True,False
H0_NumFeatures,0.7346044100922864,0.000336621193274976,False,True
H0_MeanBirth,1.0,1.0,False,False
H0_MeanDeath,4.888095008700562e-07,7.391964875513636e-07,True,True
H1_MeanPersistence,1.13895655366984e-08,1.7356869503042314e-07,True,True
H1_StdPersistence,0.000376950017014417,1.7503789971228953e-05,True,True
H1_MaxPersistence,0.04854190866911188,0.0314985382139554,True,True
H1_NumFeatures,0.15534543347075883,0.012255883050123217,False,True
H1_MeanBirth,7.649441222560266e-07,1.4955275305506735e-07,True,True
H1_MeanDeath,1.7043376259324384e-07,7.877097786325333e-08,True,True
Betti0_Integral,0.00040919406362397375,0.5431141707298521,True,False
Betti1_Integral,0.001065484639015702,0.7755217345067945,True,False
MS_r50_Components,8.173430167411282e-11,0.0031091004183872143,True,True
MS_r50_Cycles,0.6385419768388221,0.021890018515188858,False,True
MS_r100_Components,0.025848073153986885,0.004431392577454688,True,True
MS_r100_Cycles,0.9507463254485056,0.32427651848650463,False,False
MS_r200_Components,0.01154759304742147,0.9492679035137467,True,False
MS_r200_Cycles,0.5845312977603221,0.7464463523659226,False,False
MS_r300_Components,0.03395961351304973,0.07491665104141286,True,False
MS_r300_Cycles,0.5845312977603221,0.7464463523659226,False,False
MS_r400_Components,0.3205941012514977,0.8300664189646546,False,False
MS_r400_Cycles,0.5845312977603221,0.7464463523659226,False,False
TotalPersistence_H0,4.1247199007549727e-07,7.262560247154683e-07,True,True
TotalPersistence_H1,1.1188061447917134e-12,2.2737804036129555e-05,True,True
