radius,task,AUC_mean,AUC_std,F1_mean,n_pos_test
100,Mitosis_Nearby,,,,0
100,Apoptosis_Nearby,0.9954342011176144,0.00022086030909877107,0.6694975230007078,61
100,Tubule_Nearby,0.9470637360731348,0.0012681279438000825,0.7369151757112905,634
200,Mitosis_Nearby,,,,0
200,Apoptosis_Nearby,0.9903711423454687,0.0013709845398641289,0.8092334491221647,183
200,Tubule_Nearby,0.9450117633672345,0.0041605751416413424,0.8889560290371149,1575
300,Mitosis_Nearby,,,,0
300,Apoptosis_Nearby,0.9495511835770237,0.00852064744257708,0.8759692368540577,313
300,Tubule_Nearby,0.9138469774888165,0.0023862746489846792,0.8985928739359036,2051
500,Mitosis_Nearby,,,,0
500,Apoptosis_Nearby,0.8263602888261374,0.013862064173154004,0.3549718994845956,491
500,Tubule_Nearby,0.8172465970406809,0.030387883998900536,0.8554280534906687,2546
